"Store_Name","Longitude","Latitude","Address","Address Line #2","City","State","Zip5","Zip4","County"
"Wave Green Inc","-78.823906","42.830978","2540 S Park Ave","","Buffalo","NY","14218","1502","ERIE"
"Nice N Easy Grocery Shoppe 50","-76.199692","43.184975","8576 Henry Clay Blvd","","Clay","NY","13041","9677","ONONDAGA"
"Amalya 1 Corp","-73.824265","40.731331","6824 Main St","","Flushing","NY","11367","1325","QUEENS"
"Borbas Pharmacy Inc","-74.000366","40.600597","2046 Bath Ave","","Brooklyn","NY","11214","4806","KINGS"
"Bardonio Sanchez-Vivar - GC","-73.919678","40.835152","92 E 167th St","","Bronx","NY","10452","8203","BRONX"
"Broadway Express Grocery Deli Inc","-73.93808","40.847649","4183 Broadway","","New York","NY","10033","3735","NEW YORK"
"Sumner Deli and Grocery Inc","-73.937698","40.698315","874 Broadway","","Brooklyn","NY","11206","5901","KINGS"
"Astoria Fishery Suppliers & Food Corp","-73.929749","40.753922","3710 33rd St","","Long Island City","NY","11101","2209","QUEENS"
"Kaj Meat Corp/ NSA Supermarket","-73.941467","40.687267","631 Gates Ave","","Brooklyn","NY","11221","1502","KINGS"
"MARWAN MINI MART INC","-73.931107","40.669643","260B Utica Ave","","BROOKLYN","NY","11213","4000","KINGS"
"Hossain Dairy & Grocery Corp","-74.0345","40.614925","9801 3rd Ave","","Brooklyn","NY","11209","8050","KINGS"
"7 Eleven (11148D) 11148D","-73.654099","40.63533","3125 Lawson Blvd","","Oceanside","NY","11572","3717","NASSAU"
"Express Deli Food Corp","-73.924583","40.658264","1003 Clarkson Ave","","Brooklyn","NY","11212","1413","KINGS"
"New Oxford Deli Grocery","-73.940536","40.78904","2035 1st Ave","","New York","NY","10029","4802","NEW YORK"
"Jher Inc","-73.827385","40.853073","3287A Westchester Ave","","Bronx","NY","10461","4524","BRONX"
"K & Y Supermarket Inc/Met Food","-73.954498","40.707249","385 Broadway","","Brooklyn","NY","11211","7303","KINGS"
"7 Eleven (22413C) 22413C","-73.727119","40.674042","910 W Merrick Rd","","Valley Stream","NY","11580","4847","NASSAU"
"7 Eleven (11144G) 11144G","-73.66124","40.735977","159 Atlantic Ave","","New Hyde Park","NY","11040","5045","NASSAU"
"7 Eleven  (32117B) 32117B","-74.029182","40.620708","8813 4th Ave","","Brooklyn","NY","11209","5605","KINGS"
"7-Eleven #33261A","-73.644089","40.612206","3993 Austin Blvd","","Island Park","NY","11558","1221","NASSAU"
"Kiryas Joel Meat Market Inc","-74.170319","41.340096","51 Forest Rd","Ste 214","Monroe","NY","10950","2936","ORANGE"
"FLORENCE FOOD CENTER, LLC","-73.983932","40.618347","6121 20th Ave","","Brooklyn","NY","11204","3069","KINGS"
"Linden Convenience Deli Inc","-73.89888","40.709583","6502 Fresh Pond Rd","","Ridgewood","NY","11385","3316","QUEENS"
"East Side Gourmet Deli Mart Corp","-73.946259","40.789471","1862 3rd Ave","","New York","NY","10029","5400","NEW YORK"
"1517 Deli Grocery Corp","-73.931618","40.852329","1517 Saint Nicholas Ave","","New York","NY","10033","3123","NEW YORK"
"Walgreens 11639","-73.740097","42.835369","1476 Route 9","","Clifton Park","NY","12065","6524","SARATOGA"
